Date,SPX Index,HSI Index,AAXJ US Equity,USGG2YR Index,USGG10YR Index,EURUSD Curncy,GBPUSD Curncy,USDJPY Curncy,AUDUSD Curncy,USDKRW Curncy,USDTWD Curncy,USDPHP Curncy,USDIDR Curncy,USDINR Curncy,USDMYR Curncy,USDSGD Curncy,USDTHB Curncy,CLA Comdty,XAU Curncy
1/2/2020,3257.85,28543.52,74.91,1.57,1.92,1.12,1.33,108.76,0.7,1158.1,30.1,50.68,13893,71.23,4.09,1.34,30.15,52.3,1517.29
1/3/2020,3234.85,28451.5,73.72,1.569,1.8771,1.1172,1.3145,108.57,12/30/1899,1166.9,30.056,51.077,13930,71.3775,4.1023,1.3471,30.153,51.91,1529.13
1/6/2020,3246.28,28226.19,73.42,1.5246,1.7881,1.1161,1.3083,108.09,12/30/1899,1172,30.091,50.945,13944,71.7988,4.1035,1.3493,30.14,51.83,1552.2
1/7/2020,3237.18,28322.06,73.68,1.5445,1.809,1.1197,1.3171,108.37,12/30/1899,1166.45,30.063,50.76,13878,71.9375,4.092,1.3493,30.18,52.14,1565.74
1/8/2020,3253.05,28087.92,73.84,1.5404,1.8177,1.1153,1.3126,108.44,12/30/1899,1170.85,30.066,50.75,13900,71.8275,4.101,1.3497,30.337,51.74,1574.37
1/9/2020,3274.7,28561,74.58,1.5806,1.8738,1.1105,1.3097,109.12,12/30/1899,1159.35,29.998,50.66,13854,71.7063,4.0907,1.3511,30.3,52.14,1556.42
1/10/2020,3265.35,28638.2,75.05,1.5785,1.8545,1.1106,1.3067,109.52,12/30/1899,1161.65,30.008,50.735,13772,71.2137,4.076,1.3517,30.243,51.86,1552.32
1/13/2020,3288.13,28954.94,76.35,1.5702,1.8196,1.1121,1.3064,109.45,12/30/1899,1156.25,29.947,50.585,13673,70.9388,4.0625,1.3484,30.22,51.95,1562.34
1/14/2020,3283.15,28885.14,75.94,1.5843,1.8459,1.1134,1.2989,109.95,12/30/1899,1156.1,29.911,50.745,13680,70.8575,4.0725,1.3466,30.278,51.99,1547.88
1/15/2020,3289.29,28773.59,75.45,1.57,1.8109,1.1128,1.3019,109.99,12/30/1899,1156.9,29.92,50.685,13695,70.8763,4.0745,1.3468,30.26,51.55,1546.39
1/16/2020,3316.81,28883.04,75.85,1.5536,1.783,1.115,1.3038,109.9,12/30/1899,1161.4,29.94,50.901,13643,70.8212,4.0627,1.3461,30.368,51.8,1556.25
1/17/2020,3329.62,29056.42,76.23,1.5657,1.8074,1.1137,1.308,110.16,12/30/1899,1159.5,29.94,50.97,13645,70.9337,4.0547,1.3472,30.385,51.81,1552.51
1/21/2020,3320.79,28795.91,74.18,1.5592,1.8215,1.1092,1.3016,110.14,12/30/1899,1158.05,29.957,51.01,13639,71.0825,4.0595,1.3473,30.34,52.15,1557.24
1/22/2020,3321.75,27985.33,74.55,1.5592,1.8215,1.1095,1.301,110.18,12/30/1899,1167.05,29.987,50.905,13669,71.11,4.0715,1.3467,30.38,51.75,1560.77
1/23/2020,3325.54,28341.04,73.79,1.5304,1.7743,1.1082,1.305,109.87,12/30/1899,1164.5,29.988,50.98,13646,71.2088,4.0655,1.3499,30.37,50.79,1558.17
1/24/2020,3295.47,27909.12,73.17,1.5283,1.7691,1.1093,1.3142,109.84,12/30/1899,1168.65,30.271,50.81,13639,71.195,4.0695,1.3488,30.452,50.28,1558.78
1/27/2020,3243.63,27949.64,70.68,1.5137,1.7325,1.1055,1.3123,109.49,12/30/1899,1176.5,30.219,50.835,13583,71.2738,4.058,1.3512,30.557,50.77,1562.94
1/28/2020,3276.24,27160.63,71.1,1.4947,1.6839,1.1025,1.3073,109.28,12/30/1899,1177.25,30.296,50.757,13615,71.3325,4.0855,1.351,30.705,50.9,1571.53
1/29/2020,3273.4,26449.13,71.53,1.4409,1.608,1.1019,1.3057,108.9,12/30/1899,1185.1,30.199,50.84,13644,71.4413,4.0802,1.3577,30.882,50.78,1582.06
1/30/2020,3283.66,26312.63,70.37,1.4625,1.6562,1.1022,1.3028,109.15,12/30/1899,1191.7,30.12,50.985,13634,71.34,4.0895,1.3578,31,51.07,1567.17
1/31/2020,3225.52,26356.98,68.87,1.4128,1.5839,1.101,1.3021,109.02,12/30/1899,1194.9,30.054,50.83,13657,71.2525,4.098,1.3606,31.12,51.17,1576.83
2/3/2020,3248.92,26675.98,69.67,1.4128,1.5856,1.1032,1.3093,108.96,12/30/1899,1187.6,30.112,50.8,13655,71.4888,4.1135,1.3623,31.163,51.35,1574.28
2/4/2020,3297.59,26786.74,71.72,1.3132,1.5068,1.1093,1.3206,108.35,12/30/1899,1191.4,30.074,50.77,13742,71.3525,4.1105,1.3648,31.087,51.28,1589.16
2/5/2020,3334.69,27493.7,72,1.353,1.5272,1.106,1.2995,108.69,12/30/1899,1179.9,30.057,50.91,13715,71.3475,4.117,1.3686,30.923,51.32,1576.73
2/6/2020,3345.78,27404.27,72.45,1.409,1.5991,1.1044,1.3031,109.52,12/30/1899,1186.5,30.012,50.77,13690,71.2725,4.1225,1.3704,30.94,52,1552.92
2/7/2020,3327.71,27241.34,71.4,1.4431,1.6508,1.0999,1.3002,109.83,12/30/1899,1187.15,30.009,50.758,13635,71.215,4.1395,1.3813,31.073,52.24,1556.02
2/10/2020,3352.09,27583.88,72.17,1.4452,1.6422,1.0983,1.2931,109.99,12/30/1899,1181.5,30.029,50.78,13675,71.1962,4.147,1.3857,31.298,52.39,1566.66
2/11/2020,3357.75,27823.66,72.94,1.4011,1.5834,1.0946,1.2892,109.75,12/30/1899,1179.55,30.048,50.7,13712,71.4075,4.1335,1.3895,31.255,52,1570.44
2/12/2020,3379.45,27730,73.99,1.3931,1.5696,1.0911,1.2915,109.77,12/30/1899,1182.95,30.104,50.57,13675,71.2912,4.1368,1.3895,31.145,51.63,1572.15
2/13/2020,3373.94,27815.6,73.08,1.4234,1.6006,1.0916,1.2952,109.79,12/30/1899,1183.1,30.128,50.51,13674,71.285,4.1415,1.3864,31.12,51.14,1567.89
2/14/2020,3380.16,27959.6,73.11,1.4437,1.6333,1.0874,1.296,110.09,12/30/1899,1183.95,30.246,50.57,13694,71.3512,4.138,1.3865,31.155,51.21,1566.06
2/18/2020,3370.29,27530.2,72.58,1.4438,1.6173,1.0841,1.3046,109.82,12/30/1899,1189.5,30.396,50.565,13693,71.33,4.1435,1.3894,31.167,51.84,1576
2/19/2020,3386.15,27655.81,73.08,1.4279,1.5848,1.0831,1.3047,109.78,12/30/1899,1189.3,30.452,50.65,13660,71.3675,4.1535,1.3923,31.215,51.95,1584.06
2/20/2020,3373.23,27609.16,71.84,1.4279,1.5848,1.0836,1.3008,109.88,12/30/1899,1198.6,30.368,50.553,13694,71.2913,4.1613,1.3893,31.182,52.08,1581.13
2/21/2020,3337.75,27308.81,71.47,1.4116,1.561,1.0792,1.2998,109.87,12/30/1899,1209.15,30.369,50.59,13695,71.5625,4.182,1.3926,31.435,52.04,1601.61
2/24/2020,3225.89,26820.88,68.98,1.4219,1.5661,1.0805,1.292,111.37,12/30/1899,1220.35,30.287,50.95,13750,71.6425,4.1915,1.3946,31.647,51.93,1611.7
2/25/2020,3128.21,26893.23,68.78,1.3892,1.5152,1.0785,1.2882,112.1,12/30/1899,1210.2,30.094,50.963,13760,72,4.2265,1.401,31.693,50.64,1619.56
2/26/2020,3116.39,26696.49,69.35,1.3543,1.4713,1.0847,1.2964,111.61,12/30/1899,1216.95,30.057,51.042,13872,71.8875,4.2338,1.3978,31.717,50.31,1643.41
2/27/2020,2978.76,26778.62,68.28,1.2476,1.3705,1.0854,1.2924,110.72,12/30/1899,1217.15,30.02,50.816,13887,71.6625,4.2255,1.3998,31.865,50.36,1659.38
2/28/2020,2954.22,26129.93,68.34,1.2248,1.3521,1.0882,1.3005,110.2,12/30/1899,1214.5,29.939,50.904,13940,71.565,4.211,1.3988,31.658,49.07,1635.14
3/2/2020,3090.23,26291.68,69.31,1.1647,1.3371,1.0881,1.2905,110.43,12/30/1899,1193.8,30.018,50.64,14025,72.1763,4.215,1.3977,31.56,49.82,1640.96
3/3/2020,3003.37,26284.82,68.89,1.0615,1.2607,1.1001,1.2887,109.59,12/30/1899,1195.25,30.099,50.7,14318,72.735,4.203,1.3952,31.37,49.98,1645.01
3/4/2020,3130.12,26222.07,70.07,0.913,1.1486,1.1026,1.2823,107.89,12/30/1899,1187.85,30.013,50.557,14265,73.31,4.2065,1.3932,31.525,50.11,1585.69
3/5/2020,3023.94,26767.87,69,0.9029,1.1632,1.1134,1.2754,108.33,12/30/1899,1181.2,30.076,50.593,14283,73.225,4.179,1.3905,31.333,50.18,1589.44
3/6/2020,2972.37,26146.67,68.09,0.6991,0.999,1.1173,1.2811,107.13,12/30/1899,1192.3,30.112,50.644,14113,73.3138,4.163,1.3883,31.552,49.77,1640.9
3/9/2020,2746.56,25040.46,64.79,0.6926,1.0522,1.1136,1.2872,107.53,12/30/1899,1204.35,30.172,50.585,14175,73.7875,4.1727,1.3846,31.42,46.84,1636.93
3/10/2020,2882.23,25392.51,67.29,0.5973,0.912,1.1237,1.2954,106.16,12/30/1899,1193.15,30.194,50.51,14243,74.085,4.2172,1.383,31.507,47.76,1672.23
3/11/2020,2741.38,25231.61,64.62,0.5062,0.7623,1.1284,1.3048,105.39,12/30/1899,1193.1,30.217,50.542,14393,73.6413,4.2385,1.3785,31.44,48.08,1673.83
3/12/2020,2480.64,24309.07,58.83,0.381,0.5407,1.145,1.3117,102.36,12/30/1899,1206.6,30.263,50.85,14352,74.2175,4.2325,1.3846,31.43,48.71,1680.47
3/13/2020,2711.02,24032.91,62.52,0.5342,0.803,1.1281,1.2911,105.64,12/30/1899,1219.4,30.47,51.018,14374,73.9037,4.2645,1.3915,31.573,47.79,1649.4
3/16/2020,2386.13,23063.57,55.41,0.5195,0.8695,1.127,1.282,104.54,12/30/1899,1226.05,30.261,51.49,14522,74.2725,4.2775,1.3951,31.802,45.26,1635.04
3/17/2020,2529.19,23263.73,58.56,0.481,0.8042,1.1185,1.2571,104.64,12/30/1899,1243.65,30.377,51.13,14778,74.2125,4.3075,1.4094,32.118,45.17,1576.15
3/18/2020,2398.1,22291.82,54.6,0.4903,0.9603,1.1107,1.2278,107.62,12/30/1899,1245.7,30.303,51.1,14933,74.2663,4.3513,1.415,32.298,41.89,1529.83
3/19/2020,2409.39,21709.13,54.01,0.3599,0.7182,1.1183,1.2271,105.83,12/30/1899,1285.7,30.316,50.88,15173,75.03,4.3737,1.4209,32.482,41.75,1514.1
3/20/2020,2304.92,22805.07,55,0.4925,1.0784,1.0997,1.2055,107.7,12/30/1899,1248.05,30.279,51.315,15223,75.195,4.4137,1.4292,32.58,40.36,1528.3
3/23/2020,2237.4,21696.13,53.81,0.5337,1.1915,1.0915,1.1608,108.08,12/30/1899,1266.75,30.228,50.943,15913,76.275,4.3947,1.4445,32.53,41.35,1486.05
3/24/2020,2447.33,22663.49,57.55,0.4507,1.1404,1.0692,1.1485,110.71,12/30/1899,1249.7,30.225,51.185,15960,76.0762,4.447,1.4509,32.97,42.18,1471.24
3/25/2020,2475.56,23527.19,59.39,0.3134,0.8454,1.0688,1.1629,110.93,12/30/1899,1229.9,30.238,51.117,16575,75.155,4.4335,1.4506,32.83,43.31,1498.65
3/26/2020,2630.07,23352.34,61.35,0.3123,0.7863,1.0726,1.1542,111.23,12/30/1899,1233.15,30.272,51.025,16500,74.92,4.3845,1.461,32.81,42.96,1553.23
3/27/2020,2541.47,23484.28,58.29,0.3715,0.8466,1.0788,1.1762,111.23,12/30/1899,1211.1,30.2,50.935,16305,75.4163,4.3313,1.4463,32.713,43.71,1632.32
3/30/2020,2626.65,23175.11,59.43,0.3299,0.8673,1.0882,1.1878,111.21,12/30/1899,1224.7,30.123,50.699,16170,75.5425,4.337,1.4474,32.607,44.38,1616.9
3/31/2020,2584.59,23603.48,59.72,0.2927,0.8447,1.1032,1.2203,109.58,12/30/1899,1218.55,30.134,50.91,16338,76.1732,4.327,1.4312,32.667,44.45,1631.34
4/1/2020,2470.5,23085.79,57.07,0.2418,0.6746,1.1141,1.246,107.94,12/30/1899,1230.8,30.115,50.86,16310,75.625,4.3212,1.4268,32.798,43.73,1628.16
4/2/2020,2526.9,23280.06,59.02,0.2281,0.7264,1.1048,1.2414,107.76,12/30/1899,1228.8,30.092,50.728,16450,76.3062,4.3632,1.4248,32.932,43.57,1622.51
4/3/2020,2488.65,23236.11,58.09,0.2455,0.6695,1.1031,1.242,107.54,12/30/1899,1231.35,30.092,50.737,16495,76.2713,4.357,1.422,32.978,42.66,1577.18
4/6/2020,2663.68,23749.12,61,0.2061,0.5832,1.0964,1.2371,107.17,12/30/1899,1229.45,30.063,50.688,16430,76.275,4.355,1.4361,32.975,43.59,1591.51
4/7/2020,2659.41,24253.29,61.27,0.2255,0.597,1.0858,1.2396,107.91,12/30/1899,1221.1,30.028,50.603,16413,76.4463,4.3622,1.4312,32.78,44.36,1613.99
4/8/2020,2749.98,23970.37,61.72,0.2289,0.5948,1.0801,1.2269,108.55,12/30/1899,1221.15,30.086,50.617,16200,76.7937,4.3435,1.4393,32.795,43.92,1620.81
4/9/2020,2789.82,24300.33,61.35,0.2622,0.6698,1.0793,1.2231,109.22,12/30/1899,1219.9,30.091,50.634,16250,76.3825,4.3465,1.4325,32.8,44.08,1660.97
4/13/2020,2761.63,24435.4,61.68,0.2601,0.7122,1.0892,1.2332,108.76,12/30/1899,1208.85,30.05,50.61,15880,76.55,4.336,1.4233,32.662,44.57,1647.72
4/14/2020,2846.06,24145.34,63.1,0.252,0.7722,1.0858,1.2383,108.83,12/30/1899,1217.75,30.081,50.781,15630,76.835,4.3097,1.4258,32.708,45.53,1646.14
4/15/2020,2783.36,24006.45,61.75,0.2254,0.7191,1.093,1.2458,108.49,12/30/1899,1217.1,30.075,50.908,15645,76.6637,4.3238,1.4171,32.728,43.98,1683.73
4/16/2020,2799.55,24380,62.33,0.2254,0.7191,1.0937,1.2455,108.47,12/30/1899,1228.7,30.068,50.778,15575,76.0713,4.3342,1.4129,32.635,43.76,1696.65
4/17/2020,2874.56,24330.02,63.7,0.2452,0.7713,1.0914,1.2515,107.77,12/30/1899,1217.95,30.073,50.798,15640,76.4525,4.3392,1.4155,32.67,43.83,1715.34
4/20/2020,2823.16,23793.55,63.03,0.219,0.752,1.098,1.2623,107.22,12/30/1899,1220.65,30.015,50.8,15465,76.235,4.377,1.4139,32.577,43.65,1726.97
4/21/2020,2736.56,23893.36,61.2,0.1969,0.6316,1.091,1.2518,107.46,12/30/1899,1229.6,30.008,50.68,15413,76.1888,4.3698,1.4236,32.472,41.43,1717.03
4/22/2020,2799.31,23977.32,62.87,0.2066,0.6267,1.084,1.2457,107.92,12/30/1899,1232.3,29.922,50.835,15468,75.6725,4.372,1.4279,32.495,43.47,1717.7
4/23/2020,2797.8,23831.33,62.66,0.2019,0.6417,1.0875,1.2499,107.54,12/30/1899,1229.8,29.766,50.708,15450,75.1,4.3942,1.4231,32.335,42.68,1682.82
4/24/2020,2836.74,24280.14,62.75,0.2016,0.6053,1.0862,1.2442,107.62,12/30/1899,1235.65,29.873,50.673,15415,75.7262,4.3652,1.421,32.325,42.38,1695.65
4/27/2020,2878.48,24575.96,63.86,0.2034,0.5691,1.0858,1.2289,107.8,12/30/1899,1226.1,29.867,50.515,15400,75.64,4.3602,1.4318,32.445,42.17,1686.2
4/28/2020,2863.39,24643.59,63.71,0.2133,0.619,1.0823,1.2334,107.75,12/30/1899,1225.1,29.901,50.42,15385,75.765,4.3625,1.4274,32.472,42.45,1714.08
4/29/2020,2939.51,23613.8,65.2,0.2191,0.6015,1.0777,1.2344,107.6,12/30/1899,1218.5,29.945,50.61,15445,75.5513,4.3517,1.4237,32.43,42.27,1730.51
4/30/2020,2912.43,23868.66,63.99,0.2245,0.6008,1.0823,1.2367,107.51,12/30/1899,1229.15,29.894,50.528,15295,75.7337,4.3635,1.4242,32.415,43.24,1729.6
